k,g,tau,cNetUsd,gammaUsd,epochCapUsd,attackDeterred,netAttackerProfitUsd,falseAlarmPct
0.05,0.1,1,43428,14476,1448,true,-41981,0.43
0.05,0.1,3,57904,19301,1930,true,-55974,0.43
0.05,0.1,5,72381,24127,2413,true,-69968,0.43
0.05,0.15,1,43428,14476,2171,true,-41257,0.4
0.05,0.15,3,57904,19301,2895,true,-55009,0.4
0.05,0.15,5,72381,24127,3619,true,-68762,0.4
0.05,0.2,1,43428,14476,2895,true,-40533,0.38
0.05,0.2,3,57904,19301,3860,true,-54044,0.38
0.05,0.2,5,72381,24127,4825,true,-67555,0.38
0.05,0.25,1,43428,14476,3619,true,-39809,0.35
0.05,0.25,3,57904,19301,4825,true,-53079,0.35
0.05,0.25,5,72381,24127,6032,true,-66349,0.35
0.05,0.3,1,43428,14476,4343,true,-39085,0.33
0.05,0.3,3,57904,19301,5790,true,-52114,0.33
0.05,0.3,5,72381,24127,7238,true,-65142,0.33
0.1,0.1,1,43428,28952,2895,true,-40533,0.35
0.1,0.1,3,57904,38603,3860,true,-54044,0.35
0.1,0.1,5,72381,48254,4825,true,-67555,0.35
0.1,0.15,1,43428,28952,4343,true,-39085,0.33
0.1,0.15,3,57904,38603,5790,true,-52114,0.33
0.1,0.15,5,72381,48254,7238,true,-65142,0.33
0.1,0.2,1,43428,28952,5790,true,-37638,0.3
0.1,0.2,3,57904,38603,7721,true,-50184,0.3
0.1,0.2,5,72381,48254,9651,true,-62730,0.3
0.1,0.25,1,43428,28952,7238,true,-36190,0.28
0.1,0.25,3,57904,38603,9651,true,-48254,0.28
0.1,0.25,5,72381,48254,12063,true,-60317,0.28
0.1,0.3,1,43428,28952,8686,true,-34743,0.25
0.1,0.3,3,57904,38603,11581,true,-46324,0.25
0.1,0.3,5,72381,48254,14476,true,-57904,0.25
0.15,0.1,1,43428,43428,4343,true,-39085,0.28
0.15,0.1,3,57904,57904,5790,true,-52114,0.28
0.15,0.1,5,72381,72381,7238,true,-65142,0.28
0.15,0.15,1,43428,43428,6514,true,-36914,0.25
0.15,0.15,3,57904,57904,8686,true,-49219,0.25
0.15,0.15,5,72381,72381,10857,true,-61523,0.25
0.15,0.2,1,43428,43428,8686,true,-34743,0.23
0.15,0.2,3,57904,57904,11581,true,-46324,0.23
0.15,0.2,5,72381,72381,14476,true,-57904,0.23
0.15,0.25,1,43428,43428,10857,true,-32571,0.2
0.15,0.25,3,57904,57904,14476,true,-43428,0.2
0.15,0.25,5,72381,72381,18095,true,-54285,0.2
0.15,0.3,1,43428,43428,13028,true,-30400,0.18
0.15,0.3,3,57904,57904,17371,true,-40533,0.18
0.15,0.3,5,72381,72381,21714,true,-50666,0.18
0.2,0.1,1,43428,57904,5790,true,-37638,0.2
0.2,0.1,3,57904,77206,7721,true,-50184,0.2
0.2,0.1,5,72381,96507,9651,true,-62730,0.2
0.2,0.15,1,43428,57904,8686,true,-34743,0.18
0.2,0.15,3,57904,77206,11581,true,-46324,0.18
0.2,0.15,5,72381,96507,14476,true,-57904,0.18
0.2,0.2,1,43428,57904,11581,true,-31847,0.15
0.2,0.2,3,57904,77206,15441,true,-42463,0.15
0.2,0.2,5,72381,96507,19301,true,-53079,0.15
0.2,0.25,1,43428,57904,14476,true,-28952,0.12
0.2,0.25,3,57904,77206,19301,true,-38603,0.12
0.2,0.25,5,72381,96507,24127,true,-48254,0.12
0.2,0.3,1,43428,57904,17371,true,-26057,0.1
0.2,0.3,3,57904,77206,23162,true,-34743,0.1
0.2,0.3,5,72381,96507,28952,true,-43428,0.1
